,ds_1,sample_1,ds_2,sample_2,model,Data Dissimilarity Score,Domain Dissimilarity Score,Data Dissimilarity Score_std,Domain Dissimilarity Score_std
1178,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,19,04-real,0.6145368637295596,0.6076873787416291,0.4257223575982799,0.40928844795452096
1179,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,2,04-real,0.6083300736181381,0.6028513237205116,0.43114058531041777,0.41067122858746097
1180,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,20,04-real,0.6139409514165621,0.6076745674479502,0.42350249408348495,0.4121715951792971
1181,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,21,04-real,0.6138429705003192,0.6034882641005792,0.4269818196908021,0.4138687072612575
1182,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,22,04-real,0.6077279044917827,0.6067711830422461,0.4297621992291502,0.41129182657920277
1183,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,23,04-real,0.594291022476108,0.6062910205856833,0.44702968825562517,0.4099504802988949
1184,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,24,04-real,0.5986570842400459,0.6024810670433798,0.44224338778647915,0.41094362919689403
1185,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,25,04-real,0.5988535772782446,0.6081029578621745,0.44112242233008403,0.4103622546738885
1186,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,26,04-real,0.6161654337812303,0.6060081755333053,0.4208332231917169,0.4136024307646151
1187,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,27,04-real,0.5975207186278496,0.6071804820857292,0.4427324102603025,0.4115360662388322
1188,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,28,04-real,0.6116852928698678,0.600331198599149,0.42646995149332717,0.4119436329599113
1189,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,29,04-real,0.6020857298477238,0.6040634335334655,0.4369383923067832,0.4139186571447656
1190,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,3,04-real,0.6145952332600383,0.6084104226348599,0.4223606486329724,0.4118333911836688
1191,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,4,04-real,0.6181150213805119,0.6061564868754462,0.41635674635349645,0.4105400666526416
1192,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,5,04-real,0.5984216549672992,0.6090463295332784,0.4425902762874741,0.4104479239914862
1193,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,6,04-real,0.6110959085511453,0.6086509784371782,0.42436551349165297,0.41264542107915436
1194,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,7,04-real,0.5992440827667729,0.6025724147373517,0.44152273177325413,0.4103545231516767
1195,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,8,04-real,0.6173504747447272,0.588022721559123,0.42001988545566604,0.4085374302185244
1196,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,9,04-real,0.6081529184133185,0.60519816687966,0.4290370259289785,0.4118475205312682
1197,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,0,04-real,0.641521854031195,0.8387948647720656,0.3869710384247971,0.370649163174192
1198,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,1,04-real,0.6543305945447436,0.8414406610891122,0.3720083726529666,0.3714739462274485
1199,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,10,04-real,0.638649713085488,0.8473453007738028,0.3905573144507229,0.3737932875597377
1200,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,11,04-real,0.6430307487897837,0.8477093522704692,0.3850724540224959,0.3739583221927665
1201,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,12,04-real,0.6478087726993853,0.8399846936032004,0.37952005479060363,0.37098012734386066
1202,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,13,04-real,0.6482473429289966,0.847164248020104,0.37873238515148655,0.3737140507361245
1203,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,14,04-real,0.6551949022383377,0.8398410533406164,0.3710214480369245,0.37095708024661633
1204,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,15,04-real,0.6416713909734042,0.8373677309687911,0.38701786178834835,0.3702416328854837
1205,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,16,04-real,0.6522979136261394,0.8443602901968938,0.3742180629880664,0.37253828669376365
1206,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,17,04-real,0.6498727254276075,0.8448881337446899,0.37698318332175773,0.37274262007782355
1207,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,18,04-real,0.6330057426303923,0.8354236464927002,0.39759525207496454,0.36975021321913404
1208,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,19,04-real,0.6340353820675043,0.8424199803602483,0.39681210508483955,0.3718125469043203
1209,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,2,04-real,0.6396199836945148,0.7956725556126792,0.3896228357912669,0.3756827758435358
1210,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,20,04-real,0.6503073057850414,0.8440337093007354,0.37647307814584896,0.37240873982397715
1211,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,21,04-real,0.6502287618671396,0.8366271901674909,0.37666722178126294,0.37002342703815794
1212,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,22,04-real,0.6366025942096248,0.8430452667390397,0.3930053093830994,0.37206070671748515
1213,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,23,04-real,0.6530161226143112,0.8464713385115331,0.37339879933346104,0.3734090445723119
1214,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,24,04-real,0.649975852802894,0.8375803798314294,0.3768974390954129,0.3703348417515831
1215,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,25,04-real,0.6464897066290664,0.8409996341358708,0.3807814596423831,0.3713091852516243
1216,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,26,04-real,0.6519426354694076,0.843453669143852,0.3746153540332216,0.3721855123326757
1217,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,27,04-real,0.6440114273742068,0.8471909836423538,0.3840049900514081,0.3737290937038551
1218,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,28,04-real,0.6358505115001054,0.8449953867655757,0.3942867671321194,0.3727913359326625
1219,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,29,04-real,0.6409398410153996,0.846773507127408,0.38930829694350877,0.3735402084069923
1220,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,3,04-real,0.6337273395807811,0.8432061232707061,0.3967459567260411,0.37209216267662887
1221,NF-CSE-CIC-IDS2018,22,NF-UNSW-NB15,4,04-real,0.6401037820028004,0.8439976470050831,0.3884903271513286,0.37238827819298376
